"","number_of_clusters","sum_of_square","average_silhouette_width"
"1",2,23418.1804686063,0.204601776178731
"2",3,20082.8317996463,0.171246262020545
"3",4,17377.772508728,0.188741985295111
"4",5,16279.968474481,0.18017321181038
"5",6,15354.8237056003,0.148951488290298
"6",7,14654.8358079578,0.13462817141653
"7",8,14033.996286597,0.135841876142728
"8",9,13484.6231087899,0.137396892164187
"9",10,12993.3804793373,0.13929396112895
"10",11,12592.7839100476,0.139101789693363
"11",12,12269.7404890009,0.129553525761495
"12",13,11982.4871991518,0.129995173723092
"13",14,11687.1348906823,0.125961991905817
"14",15,11413.0909062488,0.127466721062482
