"","area_id","cluster","f_beer","f_dairy","f_eggs","f_fats_oils","f_fish","f_fruit_veg","f_grains","f_meat_red","f_poultry","f_readymade","f_sauces","f_soft_drinks","f_spirits","f_sweets","f_tea_coffee","f_water","f_wine","representativeness_norm","transaction_days","num_transactions","man_day","population","male","female","age_0_17","age_18_64","age_65.","avg_age","area_sq_km","people_per_sq_km"
"1","E05000043","1",0.0134478138487768,0.103337601748315,0.0109856216145681,0.0301849214451276,0.0219844241297475,0.291763189303436,0.141614937123809,0.0579228086917495,0.0223824873282117,0.0600937030224464,0.0164405373325943,0.0219765155893807,0.00263947534743206,0.158115447554185,0.00534485519792111,0.0250628234675391,0.0167028372547611,0.534702934574009,364,2234236,163526,16642,8130,8512,3799,10129,2714,39.5440451866867,3.2,5200.625
"2","E05000047","1",0.0129220160911176,0.106555540383133,0.013431106866906,0.0347407486154655,0.0244042813113739,0.304231914447089,0.133238358042489,0.0594983233455008,0.0228767798702483,0.0518729591691785,0.0173260407950797,0.0217128819670058,0.00302475986586764,0.144210157804394,0.00519698742898619,0.026401924189006,0.0183552198071595,0.751833102002345,365,6509432,411452,18640,9411,9229,4183,12383,2074,36.312500000176,2.72,6852.94117647059
"3","E05000048","1",0.0144946419939076,0.104517933650005,0.0101647531940254,0.0294063904409378,0.0213649481007008,0.268850937255933,0.143079849286563,0.0558159365504757,0.0219015582511135,0.0617464039024511,0.0166696092845892,0.0257688520937433,0.00255660813041477,0.173213284801982,0.00582561249499819,0.0240587927351004,0.0205638878330587,0.522726955254268,365,1932196,157422,16863,8241,8622,4113,10309,2441,37.8752890946024,3.75,4496.8
"4","E05000049","1",0.0108492732123899,0.105316650826455,0.0128372156206303,0.035164284564678,0.0260598134907412,0.31132585767238,0.135762340722205,0.0574288457875456,0.02207851461967,0.051387253051435,0.0183482310068813,0.0205704543228519,0.0028034959042677,0.139273601217473,0.00573594474514322,0.0280329902955532,0.0170252329396988,0.544082357276335,364,3029716,165369,17045,8440,8605,3640,11063,2342,37.2438251683796,2.52,6763.88888888889
"5","E05000056","1",0.0158918543657944,0.103051217623569,0.0108849074340916,0.0311695797129338,0.0252999058089976,0.282989178623154,0.138591517653677,0.0558940272960553,0.0204163371209226,0.0574077126133998,0.0178189488726083,0.0217900709977341,0.00299146204139432,0.159297885720441,0.00621771103894609,0.0233755735016679,0.0269121095746121,0.498697085192959,365,1606757,121936,16264,7770,8494,3349,9984,2931,41.030373830672,8.31,1957.16004813478
"6","E05000058","1",0.0139648556998436,0.110234803797493,0.0120209620904427,0.03158338208433,0.0214705535598844,0.298371744648705,0.135601525836352,0.0551257831589193,0.022205869452374,0.0532439108747968,0.0167530215839799,0.0227182438242684,0.00303680993592806,0.15315803089556,0.00563947059490744,0.024174348091615,0.0206966838706,0.597589970110751,365,2632725,205277,16434,8056,8378,3556,9992,2886,40.0615796497286,3.31,4964.95468277946
"7","E05000060","1",0.0185687101219267,0.102603912374728,0.010357594475653,0.0307802839802613,0.0209498558077823,0.259322446718946,0.149952121288288,0.0549164930762156,0.0206440103787256,0.0647024346408318,0.0172852714850853,0.0250960076605939,0.00286604971155996,0.166307622669041,0.00599345824431378,0.0285281494572078,0.0211255779088403,0.4932387999909,365,1324890,109597,16713,8060,8653,3926,9866,2921,39.5443666597786,4.55,3673.18681318681
"8","E05000063","1",0.0109758206800631,0.107450240722699,0.0125044787244114,0.0346055107583254,0.0238413934395126,0.30739288109501,0.135890390384993,0.0569394164896148,0.0215837568399159,0.0526398410547141,0.0175661862598127,0.0238525777680314,0.00273337000195326,0.143217323885771,0.00560135138643732,0.0284401496622932,0.014765310846442,0.614759871855244,365,3731621,238148,18757,9192,9565,4006,12099,2652,38.1711894244874,2.61,7186.59003831418
"9","E05000176","1",0.0118095540117798,0.113959718684862,0.0105278457721797,0.0302555818724172,0.020081196877653,0.288566039356371,0.151727167920296,0.0487247333353154,0.0186772638832456,0.064719659356305,0.0169066566244165,0.0243987037569247,0.00281116936056633,0.150316628182386,0.00737642912120401,0.0235893776777957,0.0155522742062824,0.427964880372558,364,424429,54045,14646,7148,7498,3493,9579,1574,35.7632117982446,2.01,7286.56716417911
"10","E05000180","1",0.0111278117698451,0.109846906370615,0.00986903554174798,0.0302968470242013,0.0204536767474142,0.280698477110678,0.148202220389301,0.0552482059564831,0.019203522274304,0.0648384714203192,0.0155191589765402,0.0232413775265334,0.00272734849421049,0.160792856588601,0.00758427047020178,0.02464384967108,0.0157059636679245,0.508096855828842,364,488017,58733,13923,6762,7161,3653,8514,1756,36.4579472821368,2.2,6328.63636363636
