,item_id,name,price,category,item_weight,item_volume,sold,sold_amount,member,walk_in,male,female,age
0,49,Canned Boh tea,3.0,tea_coffee,,300.0,4194,12582.0,2137,2057,1077,1060,48.5195157250003
1,14,Lemon,10.0,fruit_veg,300.0,,4193,41930.0,2099,2094,1028,1071,44.04871479379645
2,3,Carrot,7.0,fruit_veg,400.0,,4277,29939.0,2161,2116,1049,1112,49.17212919910856
3,44,Candy,3.0,sweets,50.0,,4200,12600.0,2124,2076,1060,1064,36.43913264221847
4,48,Coca cola,12.0,soft_drinks,,600.0,4223,50676.0,2071,2152,1047,1024,45.49002067913381
5,46,Spirits,15.0,spirits,,300.0,4184,62760.0,2085,2099,1061,1024,49.89495921413021
6,32,Rice,25.0,grains,5000.0,,4249,106225.0,2098,2151,1082,1016,57.0624015858525
7,35,Biscuit,10.0,grains,500.0,,4245,42450.0,2101,2144,1022,1079,53.77047651229934
8,2,Eggplant,8.0,fruit_veg,500.0,,4251,34008.0,2179,2072,1051,1128,53.68406370750404
9,8,Tomato,5.0,fruit_veg,300.0,,4065,20325.0,2031,2034,1031,1000,51.99672631518436
10,38,Oat,20.0,grains,1000.0,,4182,83640.0,2095,2087,1045,1050,36.02464024724118
11,9,Pumpkin,12.0,fruit_veg,400.0,,4141,49692.0,2065,2076,1027,1038,47.337657798943724
12,17,Chocolate milk,15.0,dairy,500.0,,4113,61695.0,2051,2062,1018,1033,60.11890803301904
13,26,Canned tuna,7.0,fish,200.0,,4282,29974.0,2123,2159,1073,1050,35.092295649118896
14,4,Broccoli,15.0,fruit_veg,300.0,,4224,63360.0,2111,2113,1069,1042,45.9125930741353
15,20,Chicken eggs,9.0,eggs,300.0,,4201,37809.0,2078,2123,1068,1010,47.64823891607359
16,40,Sausages,10.0,readymade,300.0,,4130,41300.0,2021,2109,1016,1005,49.329592151049596
17,6,Green peas,3.0,fruit_veg,100.0,,4112,12336.0,2031,2081,1000,1031,39.789913493454165
18,30,Chicken,10.0,poultry,1000.0,,4227,42270.0,2072,2155,1044,1028,63.03896345052684
19,23,Frying oil,12.0,fats_oils,500.0,,4235,50820.0,2156,2079,1087,1069,41.79921066188055
20,11,Rambutan,13.0,fruit_veg,300.0,,4311,56043.0,2161,2150,1052,1109,39.079240556340125
21,25,Sugar,7.0,sauces,500.0,,4129,28903.0,2074,2055,1043,1031,53.252919396254924
22,29,Mutton,35.0,meat_red,1000.0,,4186,146510.0,2066,2120,1075,991,55.85124234476913
23,24,Salt,5.0,sauces,500.0,,4161,20805.0,2121,2040,1034,1087,53.98888402319642
24,13,Papaya,14.0,fruit_veg,800.0,,4230,59220.0,2120,2110,1033,1087,38.29005212071603
25,27,Fish fillet,15.0,fish,500.0,,4184,62760.0,2058,2126,1046,1012,49.626739318419375
26,12,Potato,7.0,fruit_veg,500.0,,4097,28679.0,2045,2052,1067,978,52.52873522772753
27,15,Fresh milk,12.0,dairy,500.0,,4168,50016.0,2152,2016,1072,1080,45.501013986050346
28,19,Cream,10.0,dairy,100.0,,4128,41280.0,2091,2037,1074,1017,42.20894389502604
29,34,Bread,3.0,grains,300.0,,4277,12831.0,2109,2168,1023,1086,52.56240126680606
30,42,Burger,5.0,readymade,300.0,,4193,20965.0,2108,2085,1045,1063,42.99083590201764
31,39,Udon,12.0,grains,500.0,,4186,50232.0,2127,2059,1040,1087,58.00887825980187
32,36,Noodles,10.0,grains,500.0,,4098,40980.0,2014,2084,1001,1013,49.01461392981228
33,28,Beef,30.0,meat_red,1000.0,,4052,121560.0,2049,2003,1012,1037,49.34589708233534
34,10,Banana,10.0,fruit_veg,500.0,,4252,42520.0,2090,2162,1072,1018,48.857005422163155
35,43,Candy,3.0,sweets,50.0,,4243,12729.0,2054,2189,1019,1035,52.71377739826934
36,45,Beer,15.0,beer,,300.0,4120,61800.0,2037,2083,1002,1035,43.341208283558046
37,22,Vegetable oil,10.0,fats_oils,500.0,,4229,42290.0,2160,2069,1090,1070,48.85108186765127
38,50,Mineral water,1.0,water,,500.0,4038,4038.0,2046,1992,1028,1018,57.674758658062586
39,7,Corn,3.0,fruit_veg,300.0,,4302,12906.0,2142,2160,1069,1073,44.23041410930621
40,18,Butter,10.0,dairy,300.0,,4227,42270.0,2108,2119,1025,1083,43.68179778865709
41,33,Flour,3.0,grains,500.0,,4155,12465.0,2090,2065,1074,1016,46.04566861694182
42,47,Wine,15.0,wine,300.0,,4216,63240.0,2142,2074,1059,1083,44.90473237111097
43,16,Cheese,20.0,dairy,500.0,,4143,82860.0,2020,2123,1001,1019,52.03651247299331
44,37,Cereal,15.0,grains,1000.0,,4192,62880.0,2071,2121,1021,1050,45.068168098353205
45,1,Cabbage,6.0,fruit_veg,500.0,,4151,24906.0,2084,2067,1022,1062,47.091970814040764
46,21,Duck eggs,10.0,eggs,300.0,,4131,41310.0,2045,2086,1024,1021,46.527640749450505
47,5,Cucumber,10.0,fruit_veg,750.0,,4178,41780.0,2102,2076,1060,1042,46.53530456091924
48,31,Duck,12.0,poultry,1000.0,,4186,50232.0,2046,2140,1027,1019,51.068855495151254
49,41,Cheesy wedges,8.0,readymade,300.0,,4215,33720.0,2131,2084,1078,1053,52.00342843555877
